,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,1.0,1.0,50.0,0
1,1,500,0.2,0.2,50.0,0
2,2,750,0.0,0.0,50.0,0
3,3,1000,1.4,1.4,50.0,0
4,4,1250,1.2,1.2,50.0,0
5,5,1500,0.0,0.0,50.0,0
6,6,1750,1.2,1.2,50.0,0
7,7,2000,1.8,1.8,50.0,0
8,8,2250,1.6,1.6,50.0,0
9,9,2500,4.8,4.8,50.0,0
10,10,2750,5.2,5.2,50.0,0
11,11,3000,2.0,2.0,50.0,0
12,12,3250,2.2,2.2,50.0,0
13,13,3500,4.4,4.4,50.0,0
14,14,3750,5.6,5.6,50.0,0
15,15,4000,13.6,13.6,50.0,0
16,16,4250,9.2,9.2,50.0,0
17,17,4500,9.4,9.4,50.0,0
18,18,4750,10.2,10.2,50.0,0
19,19,5000,8.6,8.6,50.0,0
20,20,5250,8.4,8.4,50.0,0
21,21,5500,8.8,8.8,50.0,0
22,22,5750,11.8,11.8,50.0,0
23,23,6000,15.8,15.8,50.0,0
24,24,6250,14.2,14.2,50.0,0
25,25,6500,18.6,18.6,50.0,0
26,26,6750,20.0,20.0,50.0,0
27,27,7000,24.8,24.8,50.0,0
28,28,7250,19.8,19.8,50.0,0
29,29,7500,15.0,15.0,50.0,0
30,30,7750,17.0,17.0,50.0,0
31,31,8000,18.2,18.2,50.0,0
32,32,8250,16.6,16.6,50.0,0
33,33,8500,16.0,16.0,50.0,0
34,34,8750,22.8,22.8,50.0,0
35,35,9000,23.6,23.6,50.0,0
36,36,9250,23.2,23.2,50.0,0
37,37,9500,17.4,17.4,50.0,0
38,38,9750,25.0,25.0,50.0,0
39,39,10000,20.2,20.2,50.0,0
40,40,10250,26.4,26.4,50.0,0
41,41,10500,23.0,23.0,50.0,0
42,42,10750,21.2,21.2,50.0,0
43,43,11000,24.2,24.2,50.0,0
44,44,11250,23.6,23.6,50.0,0
45,45,11500,20.4,20.4,50.0,0
46,46,11750,20.6,20.6,50.0,0
47,47,12000,24.0,24.0,50.0,0
48,48,12250,31.0,31.0,50.0,0
49,49,12500,28.2,28.2,50.0,0
