,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,1.8,1.8,50.0,0
1,1,500,1.4,1.4,50.0,0
2,2,750,0.0,0.0,50.0,0
3,3,1000,0.0,0.0,50.0,0
4,4,1250,0.4,0.4,50.0,0
5,5,1500,2.4,2.4,50.0,0
6,6,1750,2.4,2.4,50.0,0
7,7,2000,1.6,1.6,50.0,0
8,8,2250,2.8,2.8,50.0,0
9,9,2500,1.0,1.0,50.0,0
10,10,2750,11.6,11.6,50.0,0
11,11,3000,4.4,4.4,50.0,0
12,12,3250,3.2,3.2,50.0,0
13,13,3500,8.2,8.2,50.0,0
14,14,3750,6.0,6.0,50.0,0
15,15,4000,7.0,7.0,50.0,0
16,16,4250,10.4,10.4,50.0,0
17,17,4500,14.2,14.2,50.0,0
18,18,4750,14.2,14.2,50.0,0
19,19,5000,15.0,15.0,50.0,0
20,20,5250,21.8,21.8,50.0,0
21,21,5500,16.6,16.6,50.0,0
22,22,5750,17.4,17.4,50.0,0
23,23,6000,16.2,16.2,50.0,0
24,24,6250,23.4,23.4,50.0,0
25,25,6500,22.8,22.8,50.0,0
26,26,6750,20.2,20.2,50.0,0
27,27,7000,24.8,24.8,50.0,0
28,28,7250,24.4,24.4,50.0,0
29,29,7500,23.6,23.6,50.0,0
30,30,7750,26.6,26.6,50.0,0
31,31,8000,26.0,26.0,50.0,0
32,32,8250,26.8,26.8,50.0,0
33,33,8500,27.4,27.4,50.0,0
34,34,8750,28.8,28.8,50.0,0
35,35,9000,25.4,25.4,50.0,0
36,36,9250,29.6,29.6,50.0,0
37,37,9500,27.6,27.6,50.0,0
38,38,9750,29.8,29.8,50.0,0
39,39,10000,24.0,24.0,50.0,0
40,40,10250,28.0,28.0,50.0,0
41,41,10500,25.8,25.8,50.0,0
42,42,10750,29.2,29.2,50.0,0
43,43,11000,27.6,27.6,50.0,0
44,44,11250,29.6,29.6,50.0,0
45,45,11500,31.8,31.8,50.0,0
46,46,11750,30.8,30.8,50.0,0
47,47,12000,31.4,31.4,50.0,0
48,48,12250,30.8,30.8,50.0,0
49,49,12500,31.4,31.4,50.0,0
