,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,3.2,3.2,50.0,0
1,1,500,5.2,5.2,50.0,0
2,2,750,5.4,5.4,50.0,0
3,3,1000,2.4,2.4,50.0,0
4,4,1250,2.4,2.4,50.0,0
5,5,1500,4.2,4.2,50.0,0
6,6,1750,2.6,2.6,50.0,0
7,7,2000,4.0,4.0,50.0,0
8,8,2250,11.6,11.6,50.0,0
9,9,2500,8.2,8.2,50.0,0
10,10,2750,11.4,11.4,50.0,0
11,11,3000,13.6,13.6,50.0,0
12,12,3250,12.8,12.8,50.0,0
13,13,3500,14.4,14.4,50.0,0
14,14,3750,22.0,22.0,50.0,0
15,15,4000,18.4,18.4,50.0,0
16,16,4250,20.8,20.8,50.0,0
17,17,4500,23.8,23.8,50.0,0
18,18,4750,26.2,26.2,50.0,0
19,19,5000,30.2,30.2,50.0,0
20,20,5250,28.0,28.0,50.0,0
21,21,5500,23.2,23.2,50.0,0
22,22,5750,25.2,25.2,50.0,0
23,23,6000,22.0,22.0,50.0,0
24,24,6250,27.8,27.8,50.0,0
25,25,6500,19.8,19.8,50.0,0
26,26,6750,30.0,30.0,50.0,0
27,27,7000,22.2,22.2,50.0,0
28,28,7250,27.6,27.6,50.0,0
29,29,7500,28.6,28.6,50.0,0
30,30,7750,24.2,24.2,50.0,0
31,31,8000,17.0,17.0,50.0,0
32,32,8250,33.4,33.4,50.0,0
33,33,8500,24.0,24.0,50.0,0
34,34,8750,24.6,24.6,50.0,0
35,35,9000,24.8,24.8,50.0,0
36,36,9250,23.4,23.4,50.0,0
37,37,9500,30.2,30.2,50.0,0
38,38,9750,28.6,28.6,50.0,0
39,39,10000,31.6,31.6,50.0,0
40,40,10250,26.4,26.4,50.0,0
41,41,10500,24.4,24.4,50.0,0
42,42,10750,30.2,30.2,50.0,0
43,43,11000,26.0,26.0,50.0,0
44,44,11250,29.2,29.2,50.0,0
45,45,11500,24.0,24.0,50.0,0
46,46,11750,18.2,18.2,50.0,0
47,47,12000,24.8,24.8,50.0,0
48,48,12250,28.0,28.0,50.0,0
49,49,12500,32.8,32.8,50.0,0
