,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,1.2,1.2,50.0,0
1,1,500,0.4,0.4,50.0,0
2,2,750,1.0,1.0,50.0,0
3,3,1000,2.8,2.8,50.0,0
4,4,1250,4.2,4.2,50.0,0
5,5,1500,2.4,2.4,50.0,0
6,6,1750,5.6,5.6,50.0,0
7,7,2000,6.4,6.4,50.0,0
8,8,2250,9.2,9.2,50.0,0
9,9,2500,12.8,12.8,50.0,0
10,10,2750,18.2,18.2,50.0,0
11,11,3000,12.8,12.8,50.0,0
12,12,3250,11.2,11.2,50.0,0
13,13,3500,12.8,12.8,50.0,0
14,14,3750,18.2,18.2,50.0,0
15,15,4000,17.4,17.4,50.0,0
16,16,4250,21.8,21.8,50.0,0
17,17,4500,16.4,16.4,50.0,0
18,18,4750,26.0,26.0,50.0,0
19,19,5000,22.0,22.0,50.0,0
20,20,5250,20.8,20.8,50.0,0
21,21,5500,22.8,22.8,50.0,0
22,22,5750,24.8,24.8,50.0,0
23,23,6000,25.0,25.0,50.0,0
24,24,6250,25.2,25.2,50.0,0
25,25,6500,29.2,29.2,50.0,0
26,26,6750,28.0,28.0,50.0,0
27,27,7000,27.6,27.6,50.0,0
28,28,7250,27.0,27.0,50.0,0
29,29,7500,30.0,30.0,50.0,0
30,30,7750,28.2,28.2,50.0,0
31,31,8000,31.4,31.4,50.0,0
32,32,8250,29.8,29.8,50.0,0
33,33,8500,30.6,30.6,50.0,0
34,34,8750,31.0,31.0,50.0,0
35,35,9000,31.8,31.8,50.0,0
36,36,9250,31.0,31.0,50.0,0
37,37,9500,33.2,33.2,50.0,0
38,38,9750,34.4,34.4,50.0,0
39,39,10000,30.6,30.6,50.0,0
40,40,10250,29.8,29.8,50.0,0
41,41,10500,30.8,30.8,50.0,0
42,42,10750,29.8,29.8,50.0,0
43,43,11000,32.4,32.4,50.0,0
44,44,11250,30.4,30.4,50.0,0
45,45,11500,31.4,31.4,50.0,0
46,46,11750,34.0,34.0,50.0,0
47,47,12000,30.0,30.0,50.0,0
48,48,12250,31.4,31.4,50.0,0
49,49,12500,32.0,32.0,50.0,0
