,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
190,190,47750,20.0,20.0,50.0,0
191,191,48000,12.2,12.2,50.0,0
192,192,48250,6.8,6.8,50.0,0
193,193,48500,3.4,3.4,50.0,0
194,194,48750,8.0,8.0,50.0,0
195,195,49000,16.8,16.8,50.0,0
196,196,49250,0.6,0.6,50.0,0
197,197,49500,4.2,4.2,50.0,0
198,198,49750,13.2,13.2,50.0,0
199,199,50000,5.6,5.6,50.0,0
200,200,50250,3.4,3.4,50.0,0
201,201,50500,11.0,11.0,50.0,0
202,202,50750,16.2,16.2,50.0,0
203,203,51000,0.8,0.8,50.0,0
204,204,51250,9.0,9.0,50.0,0
205,205,51500,13.6,13.6,50.0,0
206,206,51750,5.6,5.6,50.0,0
207,207,52000,15.2,15.2,50.0,0
208,208,52250,7.0,7.0,50.0,0
209,209,52500,8.2,8.2,50.0,0
210,210,52750,6.4,6.4,50.0,0
211,211,53000,0.4,0.4,50.0,0
212,212,53250,14.2,14.2,50.0,0
213,213,53500,7.0,7.0,50.0,0
214,214,53750,7.8,7.8,50.0,0
215,215,54000,7.4,7.4,50.0,0
216,216,54250,6.0,6.0,50.0,0
217,217,54500,1.6,1.6,50.0,0
218,218,54750,16.0,16.0,50.0,0
219,219,55000,11.8,11.8,50.0,0
220,220,55250,2.4,2.4,50.0,0
221,221,55500,12.4,12.4,50.0,0
222,222,55750,2.8,2.8,50.0,0
223,223,56000,10.8,10.8,50.0,0
224,224,56250,16.2,16.2,50.0,0
225,225,56500,15.2,15.2,50.0,0
226,226,56750,13.6,13.6,50.0,0
227,227,57000,6.2,6.2,50.0,0
228,228,57250,0.6,0.6,50.0,0
229,229,57500,28.8,28.8,50.0,0
230,230,57750,2.0,2.0,50.0,0
231,231,58000,14.0,14.0,50.0,0
232,232,58250,3.0,3.0,50.0,0
233,233,58500,7.4,7.4,50.0,0
234,234,58750,14.8,14.8,50.0,0
235,235,59000,7.4,7.4,50.0,0
236,236,59250,10.8,10.8,50.0,0
237,237,59500,21.6,21.6,50.0,0
238,238,59750,6.2,6.2,50.0,0
239,239,60000,11.8,11.8,50.0,0
240,240,60250,5.8,5.8,50.0,0
241,241,60500,5.4,5.4,50.0,0
242,242,60750,8.0,8.0,50.0,0
243,243,61000,1.6,1.6,50.0,0
244,244,61250,13.8,13.8,50.0,0
245,245,61500,4.8,4.8,50.0,0
246,246,61750,5.4,5.4,50.0,0
247,247,62000,6.8,6.8,50.0,0
248,248,62250,24.6,24.6,50.0,0
249,249,62500,13.0,13.0,50.0,0
250,250,62750,11.0,11.0,50.0,0
251,251,63000,11.2,11.2,50.0,0
252,252,63250,8.4,8.4,50.0,0
253,253,63500,4.6,4.6,50.0,0
254,254,63750,15.4,15.4,50.0,0
255,255,64000,10.2,10.2,50.0,0
256,256,64250,3.2,3.2,50.0,0
257,257,64500,2.2,2.2,50.0,0
258,258,64750,16.4,16.4,50.0,0
259,259,65000,20.0,20.0,50.0,0
260,260,65250,11.6,11.6,50.0,0
261,261,65500,2.0,2.0,50.0,0
262,262,65750,5.0,5.0,50.0,0
263,263,66000,10.8,10.8,50.0,0
264,264,66250,11.2,11.2,50.0,0
265,265,66500,11.8,11.8,50.0,0
266,266,66750,2.6,2.6,50.0,0
267,267,67000,9.2,9.2,50.0,0
268,268,67250,5.8,5.8,50.0,0
269,269,67500,9.8,9.8,50.0,0
270,270,67750,9.2,9.2,50.0,0
271,271,68000,4.8,4.8,50.0,0
272,272,68250,16.8,16.8,50.0,0
273,273,68500,8.2,8.2,50.0,0
274,274,68750,18.4,18.4,50.0,0
275,275,69000,4.8,4.8,50.0,0
276,276,69250,11.8,11.8,50.0,0
277,277,69500,6.4,6.4,50.0,0
278,278,69750,11.4,11.4,50.0,0
279,279,70000,2.0,2.0,50.0,0
280,280,70250,11.6,11.6,50.0,0
281,281,70500,10.0,10.0,50.0,0
282,282,70750,12.2,12.2,50.0,0
283,283,71000,18.6,18.6,50.0,0
284,284,71250,16.4,16.4,50.0,0
285,285,71500,1.4,1.4,50.0,0
286,286,71750,11.4,11.4,50.0,0
287,287,72000,11.8,11.8,50.0,0
288,288,72250,10.4,10.4,50.0,0
289,289,72500,7.6,7.6,50.0,0
290,290,72750,10.6,10.6,50.0,0
291,291,73000,12.6,12.6,50.0,0
292,292,73250,12.0,12.0,50.0,0
293,293,73500,7.4,7.4,50.0,0
294,294,73750,11.8,11.8,50.0,0
295,295,74000,14.4,14.4,50.0,0
296,296,74250,15.8,15.8,50.0,0
297,297,74500,10.4,10.4,50.0,0
298,298,74750,4.4,4.4,50.0,0
299,299,75000,21.6,21.6,50.0,0
300,300,75250,21.0,21.0,50.0,0
301,301,75500,15.0,15.0,50.0,0
302,302,75750,10.2,10.2,50.0,0
303,303,76000,13.0,13.0,50.0,0
304,304,76250,14.0,14.0,50.0,0
305,305,76500,2.6,2.6,50.0,0
306,306,76750,13.4,13.4,50.0,0
307,307,77000,11.4,11.4,50.0,0
308,308,77250,17.4,17.4,50.0,0
309,309,77500,20.6,20.6,50.0,0
310,310,77750,14.2,14.2,50.0,0
311,311,78000,4.0,4.0,50.0,0
312,312,78250,16.8,16.8,50.0,0
313,313,78500,5.2,5.2,50.0,0
314,314,78750,17.6,17.6,50.0,0
315,315,79000,13.6,13.6,50.0,0
316,316,79250,8.0,8.0,50.0,0
317,317,79500,16.6,16.6,50.0,0
318,318,79750,5.6,5.6,50.0,0
319,319,80000,13.4,13.4,50.0,0
320,320,80250,14.4,14.4,50.0,0
321,321,80500,15.0,15.0,50.0,0
322,322,80750,15.0,15.0,50.0,0
323,323,81000,22.0,22.0,50.0,0
324,324,81250,16.4,16.4,50.0,0
325,325,81500,11.2,11.2,50.0,0
326,326,81750,19.8,19.8,50.0,0
327,327,82000,16.4,16.4,50.0,0
328,328,82250,11.4,11.4,50.0,0
329,329,82500,17.4,17.4,50.0,0
330,330,82750,6.6,6.6,50.0,0
331,331,83000,5.0,5.0,50.0,0
332,332,83250,12.2,12.2,50.0,0
333,333,83500,16.8,16.8,50.0,0
334,334,83750,24.8,24.8,50.0,0
335,335,84000,16.2,16.2,50.0,0
336,336,84250,16.8,16.8,50.0,0
337,337,84500,4.0,4.0,50.0,0
338,338,84750,1.6,1.6,50.0,0
339,339,85000,11.6,11.6,50.0,0
340,340,85250,33.2,33.2,50.0,0
341,341,85500,3.6,3.6,50.0,0
342,342,85750,5.6,5.6,50.0,0
343,343,86000,5.4,5.4,50.0,0
344,344,86250,2.2,2.2,50.0,0
345,345,86500,8.0,8.0,50.0,0
346,346,86750,6.6,6.6,50.0,0
347,347,87000,10.2,10.2,50.0,0
348,348,87250,14.8,14.8,50.0,0
349,349,87500,18.4,18.4,50.0,0
350,350,87750,2.8,2.8,50.0,0
351,351,88000,8.8,8.8,50.0,0
352,352,88250,10.2,10.2,50.0,0
353,353,88500,19.8,19.8,50.0,0
354,354,88750,15.8,15.8,50.0,0
355,355,89000,23.4,23.4,50.0,0
356,356,89250,4.8,4.8,50.0,0
357,357,89500,18.2,18.2,50.0,0
358,358,89750,15.6,15.6,50.0,0
359,359,90000,23.2,23.2,50.0,0
360,360,90250,8.6,8.6,50.0,0
361,361,90500,0.8,0.8,50.0,0
362,362,90750,18.8,18.8,50.0,0
363,363,91000,12.2,12.2,50.0,0
364,364,91250,16.4,16.4,50.0,0
365,365,91500,8.0,8.0,50.0,0
366,366,91750,1.4,1.4,50.0,0
367,367,92000,5.0,5.0,50.0,0
368,368,92250,20.8,20.8,50.0,0
369,369,92500,17.8,17.8,50.0,0
370,370,92750,14.0,14.0,50.0,0
371,371,93000,1.8,1.8,50.0,0
372,372,93250,18.0,18.0,50.0,0
