,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,2.6,2.6,50.0,0
1,1,500,4.4,4.4,50.0,0
2,2,750,0.0,0.0,50.0,0
3,3,1000,0.0,0.0,50.0,0
4,4,1250,0.2,0.2,50.0,0
5,5,1500,1.2,1.2,50.0,0
6,6,1750,0.0,0.0,50.0,0
7,7,2000,1.4,1.4,50.0,0
8,8,2250,5.0,5.0,50.0,0
9,9,2500,7.0,7.0,50.0,0
10,10,2750,0.0,0.0,50.0,0
11,11,3000,9.6,9.6,50.0,0
12,12,3250,0.6,0.6,50.0,0
13,13,3500,5.4,5.4,50.0,0
14,14,3750,2.8,2.8,50.0,0
15,15,4000,8.0,8.0,50.0,0
16,16,4250,4.0,4.0,50.0,0
17,17,4500,4.2,4.2,50.0,0
18,18,4750,2.4,2.4,50.0,0
19,19,5000,8.8,8.8,50.0,0
20,20,5250,11.4,11.4,50.0,0
21,21,5500,10.8,10.8,50.0,0
22,22,5750,12.6,12.6,50.0,0
23,23,6000,3.0,3.0,50.0,0
24,24,6250,5.6,5.6,50.0,0
25,25,6500,19.0,19.0,50.0,0
26,26,6750,9.4,9.4,50.0,0
27,27,7000,12.4,12.4,50.0,0
28,28,7250,14.0,14.0,50.0,0
29,29,7500,11.6,11.6,50.0,0
30,30,7750,9.8,9.8,50.0,0
31,31,8000,6.6,6.6,50.0,0
32,32,8250,7.4,7.4,50.0,0
33,33,8500,8.4,8.4,50.0,0
34,34,8750,17.8,17.8,50.0,0
35,35,9000,16.6,16.6,50.0,0
36,36,9250,14.0,14.0,50.0,0
37,37,9500,15.6,15.6,50.0,0
38,38,9750,6.4,6.4,50.0,0
39,39,10000,10.0,10.0,50.0,0
40,40,10250,12.0,12.0,50.0,0
41,41,10500,9.8,9.8,50.0,0
42,42,10750,17.4,17.4,50.0,0
43,43,11000,6.2,6.2,50.0,0
44,44,11250,19.6,19.6,50.0,0
45,45,11500,18.6,18.6,50.0,0
46,46,11750,11.6,11.6,50.0,0
47,47,12000,14.8,14.8,50.0,0
48,48,12250,13.8,13.8,50.0,0
49,49,12500,10.2,10.2,50.0,0
