,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,0.0,0.0,50.0,0
1,1,500,0.4,0.4,50.0,0
2,2,750,0.0,0.0,50.0,0
3,3,1000,1.0,1.0,50.0,0
4,4,1250,2.4,2.4,50.0,0
5,5,1500,0.2,0.2,50.0,0
6,6,1750,3.2,3.2,50.0,0
7,7,2000,1.4,1.4,50.0,0
8,8,2250,4.8,4.8,50.0,0
9,9,2500,2.2,2.2,50.0,0
10,10,2750,2.2,2.2,50.0,0
11,11,3000,2.4,2.4,50.0,0
12,12,3250,7.8,7.8,50.0,0
13,13,3500,5.2,5.2,50.0,0
14,14,3750,8.2,8.2,50.0,0
15,15,4000,9.0,9.0,50.0,0
16,16,4250,10.8,10.8,50.0,0
17,17,4500,12.0,12.0,50.0,0
18,18,4750,15.0,15.0,50.0,0
19,19,5000,12.6,12.6,50.0,0
20,20,5250,22.6,22.6,50.0,0
21,21,5500,21.6,21.6,50.0,0
22,22,5750,19.4,19.4,50.0,0
23,23,6000,21.8,21.8,50.0,0
24,24,6250,24.6,24.6,50.0,0
25,25,6500,24.4,24.4,50.0,0
26,26,6750,25.4,25.4,50.0,0
27,27,7000,27.0,27.0,50.0,0
28,28,7250,29.0,29.0,50.0,0
29,29,7500,26.8,26.8,50.0,0
30,30,7750,31.0,31.0,50.0,0
31,31,8000,31.0,31.0,50.0,0
32,32,8250,26.4,26.4,50.0,0
33,33,8500,27.8,27.8,50.0,0
34,34,8750,33.4,33.4,50.0,0
35,35,9000,30.2,30.2,50.0,0
36,36,9250,30.2,30.2,50.0,0
37,37,9500,32.2,32.2,50.0,0
38,38,9750,31.4,31.4,50.0,0
39,39,10000,25.0,25.0,50.0,0
40,40,10250,30.4,30.4,50.0,0
41,41,10500,28.2,28.2,50.0,0
42,42,10750,32.6,32.6,50.0,0
43,43,11000,29.4,29.4,50.0,0
44,44,11250,29.8,29.8,50.0,0
45,45,11500,28.0,28.0,50.0,0
46,46,11750,31.6,31.6,50.0,0
47,47,12000,35.4,35.4,50.0,0
48,48,12250,33.6,33.6,50.0,0
49,49,12500,34.0,34.0,50.0,0
