,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,0.2,0.2,50.0,0
1,1,500,1.8,1.8,50.0,0
2,2,750,2.4,2.4,50.0,0
3,3,1000,0.0,0.0,50.0,0
4,4,1250,1.2,1.2,50.0,0
5,5,1500,1.2,1.2,50.0,0
6,6,1750,5.2,5.2,50.0,0
7,7,2000,1.0,1.0,50.0,0
8,8,2250,3.8,3.8,50.0,0
9,9,2500,1.8,1.8,50.0,0
10,10,2750,6.4,6.4,50.0,0
11,11,3000,9.4,9.4,50.0,0
12,12,3250,7.6,7.6,50.0,0
13,13,3500,6.8,6.8,50.0,0
14,14,3750,15.6,15.6,50.0,0
15,15,4000,12.4,12.4,50.0,0
16,16,4250,12.4,12.4,50.0,0
17,17,4500,8.4,8.4,50.0,0
18,18,4750,18.8,18.8,50.0,0
19,19,5000,18.8,18.8,50.0,0
20,20,5250,18.2,18.2,50.0,0
21,21,5500,20.8,20.8,50.0,0
22,22,5750,19.8,19.8,50.0,0
23,23,6000,25.0,25.0,50.0,0
24,24,6250,22.4,22.4,50.0,0
25,25,6500,19.6,19.6,50.0,0
26,26,6750,23.2,23.2,50.0,0
27,27,7000,29.4,29.4,50.0,0
28,28,7250,22.4,22.4,50.0,0
29,29,7500,24.6,24.6,50.0,0
30,30,7750,26.8,26.8,50.0,0
31,31,8000,28.0,28.0,50.0,0
32,32,8250,30.0,30.0,50.0,0
33,33,8500,29.2,29.2,50.0,0
34,34,8750,27.0,27.0,50.0,0
35,35,9000,25.4,25.4,50.0,0
36,36,9250,28.8,28.8,50.0,0
37,37,9500,30.6,30.6,50.0,0
38,38,9750,31.4,31.4,50.0,0
39,39,10000,31.6,31.6,50.0,0
40,40,10250,30.8,30.8,50.0,0
41,41,10500,29.2,29.2,50.0,0
42,42,10750,29.0,29.0,50.0,0
43,43,11000,30.8,30.8,50.0,0
44,44,11250,35.6,35.6,50.0,0
45,45,11500,30.0,30.0,50.0,0
46,46,11750,31.8,31.8,50.0,0
47,47,12000,34.0,34.0,50.0,0
48,48,12250,30.8,30.8,50.0,0
49,49,12500,29.6,29.6,50.0,0
