,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,0.4,0.23897203299244305,50.0,0
1,1,500,0.2,0.15694334474695998,50.0,0
2,2,750,0.0,0.0,50.0,0
3,3,1000,0.2,0.2,50.0,0
4,4,1250,0.0,0.0,50.0,0
5,5,1500,0.2,0.18823839999999997,50.0,0
6,6,1750,1.8,1.4891838842839493,50.0,0
7,7,2000,0.2,0.1701526045163571,50.0,0
8,8,2250,0.0,0.0,50.0,0
9,9,2500,0.6,0.5209461873385011,50.0,0
10,10,2750,2.4,1.9888075776791172,50.0,0
11,11,3000,1.8,0.9401369762237828,50.0,0
12,12,3250,2.6,1.4693286425108858,50.0,0
13,13,3500,1.2,0.8012385633259914,50.0,0
14,14,3750,0.4,0.2752224317836237,50.0,0
15,15,4000,1.0,0.7926213457514557,50.0,0
16,16,4250,2.2,1.108733533692562,50.0,0
17,17,4500,0.6,0.4753931275056389,50.0,0
18,18,4750,0.2,0.196,50.0,0
19,19,5000,1.6,1.3563961978963115,50.0,0
20,20,5250,6.4,3.976553528127861,50.0,0
21,21,5500,1.6,1.452103454951731,50.0,0
22,22,5750,0.8,0.5806392965876032,50.0,0
23,23,6000,0.4,0.2116915546659361,50.0,0
24,24,6250,1.2,1.1238738205290808,50.0,0
25,25,6500,0.0,0.0,50.0,0
26,26,6750,0.4,0.396,50.0,0
27,27,7000,2.0,1.5214571378000852,50.0,0
28,28,7250,2.0,1.6649276932925523,50.0,0
29,29,7500,1.0,0.8029053414773024,50.0,0
30,30,7750,1.0,0.5795547978043143,50.0,0
31,31,8000,1.4,1.123766416659171,50.0,0
32,32,8250,1.0,0.6466966405623761,50.0,0
33,33,8500,3.2,2.3922817989501306,50.0,0
34,34,8750,2.0,1.5304513732398874,50.0,0
35,35,9000,2.2,1.8115857023506066,50.0,0
36,36,9250,1.6,1.1893694367108851,50.0,0
37,37,9500,2.8,1.5120291580669252,50.0,0
38,38,9750,1.0,0.5715907305257878,50.0,0
39,39,10000,1.0,0.7804543227443128,50.0,0
40,40,10250,4.2,2.624152340639936,50.0,0
41,41,10500,1.8,1.059090390380442,50.0,0
42,42,10750,1.2,1.075704180634856,50.0,0
43,43,11000,1.8,1.0952676133642179,50.0,0
44,44,11250,2.0,1.3212542993929672,50.0,0
45,45,11500,4.2,3.0111215480670603,50.0,0
46,46,11750,3.6,2.0441702699840105,50.0,0
47,47,12000,1.8,1.1712001508583985,50.0,0
48,48,12250,2.0,1.69833210907818,50.0,0
49,49,12500,1.4,0.8374840604490748,50.0,0
