,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,1.0,0.5716916124237779,50.0,0
1,1,500,0.2,0.13352159435101885,50.0,0
2,2,750,0.0,0.0,50.0,0
3,3,1000,0.0,0.0,50.0,0
4,4,1250,0.0,0.0,50.0,0
5,5,1500,0.4,0.34518174474695995,50.0,0
6,6,1750,0.2,0.09470977312832042,50.0,0
7,7,2000,0.8,0.6320017635317753,50.0,0
8,8,2250,0.2,0.0986149241236156,50.0,0
9,9,2500,1.0,0.8531059621317576,50.0,0
10,10,2750,0.0,0.0,50.0,0
11,11,3000,1.6,1.1363274785273332,50.0,0
12,12,3250,0.2,0.1771684761728,50.0,0
13,13,3500,0.2,0.08389793091908064,50.0,0
14,14,3750,0.0,0.0,50.0,0
15,15,4000,0.6,0.3597625185535255,50.0,0
16,16,4250,1.2,0.817563834434144,50.0,0
17,17,4500,1.0,0.7262177900980498,50.0,0
18,18,4750,3.0,1.7279406892566356,50.0,0
19,19,5000,1.4,1.0819496259600148,50.0,0
20,20,5250,1.2,0.9261074984628728,50.0,0
21,21,5500,0.0,0.0,50.0,0
22,22,5750,1.0,0.7726045928005512,50.0,0
23,23,6000,1.2,0.6918564187226148,50.0,0
24,24,6250,2.6,1.9173777156247016,50.0,0
25,25,6500,1.0,0.6293120985054643,50.0,0
26,26,6750,2.2,1.71444778315093,50.0,0
27,27,7000,0.8,0.6811008776798964,50.0,0
28,28,7250,1.4,0.9303481846519978,50.0,0
29,29,7500,5.2,3.734979891381392,50.0,0
30,30,7750,0.0,0.0,50.0,0
31,31,8000,4.6,3.3752433519838307,50.0,0
32,32,8250,2.0,1.378992769924141,50.0,0
33,33,8500,5.8,4.375889955560202,50.0,0
34,34,8750,3.4,1.9384750564526931,50.0,0
35,35,9000,6.0,3.87798149513982,50.0,0
36,36,9250,4.8,2.7287207819585206,50.0,0
37,37,9500,8.8,4.89001116599152,50.0,0
38,38,9750,5.2,3.6772986172379163,50.0,0
39,39,10000,8.0,4.866345881364043,50.0,0
40,40,10250,11.8,7.512339615401116,50.0,0
41,41,10500,6.4,3.5774810728128434,50.0,0
42,42,10750,11.0,6.177454496628283,50.0,0
43,43,11000,7.8,4.015721011037658,50.0,0
44,44,11250,10.8,6.061766586204262,50.0,0
45,45,11500,8.0,4.6333734833437585,50.0,0
46,46,11750,10.4,6.02385419987485,50.0,0
47,47,12000,11.2,6.864802885177307,50.0,0
48,48,12250,11.4,6.5050158525566415,50.0,0
49,49,12500,9.8,5.714417133966471,50.0,0
