,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,0.4,0.4,50.0,0
1,1,500,1.6,1.6,50.0,0
2,2,750,4.8,4.8,50.0,0
3,3,1000,2.4,2.4,50.0,0
4,4,1250,3.8,3.8,50.0,0
5,5,1500,3.8,3.8,50.0,0
6,6,1750,5.6,5.6,50.0,0
7,7,2000,7.2,7.2,50.0,0
8,8,2250,8.8,8.8,50.0,0
9,9,2500,7.8,7.8,50.0,0
10,10,2750,16.2,16.2,50.0,0
11,11,3000,9.2,9.2,50.0,0
12,12,3250,13.0,13.0,50.0,0
13,13,3500,20.4,20.4,50.0,0
14,14,3750,8.4,8.4,50.0,0
15,15,4000,18.8,18.8,50.0,0
16,16,4250,15.4,15.4,50.0,0
17,17,4500,11.4,11.4,50.0,0
18,18,4750,19.0,19.0,50.0,0
19,19,5000,16.6,16.6,50.0,0
20,20,5250,26.2,26.2,50.0,0
21,21,5500,23.2,23.2,50.0,0
22,22,5750,28.6,28.6,50.0,0
23,23,6000,27.6,27.6,50.0,0
24,24,6250,25.4,25.4,50.0,0
25,25,6500,22.6,22.6,50.0,0
26,26,6750,26.8,26.8,50.0,0
27,27,7000,22.6,22.6,50.0,0
28,28,7250,19.4,19.4,50.0,0
29,29,7500,29.8,29.8,50.0,0
30,30,7750,27.4,27.4,50.0,0
31,31,8000,28.2,28.2,50.0,0
32,32,8250,29.0,29.0,50.0,0
33,33,8500,28.0,28.0,50.0,0
34,34,8750,31.4,31.4,50.0,0
35,35,9000,29.2,29.2,50.0,0
36,36,9250,29.6,29.6,50.0,0
37,37,9500,25.2,25.2,50.0,0
38,38,9750,23.4,23.4,50.0,0
39,39,10000,32.2,32.2,50.0,0
40,40,10250,21.4,21.4,50.0,0
41,41,10500,32.2,32.2,50.0,0
42,42,10750,21.0,21.0,50.0,0
43,43,11000,25.2,25.2,50.0,0
44,44,11250,24.6,24.6,50.0,0
45,45,11500,26.8,26.8,50.0,0
46,46,11750,19.2,19.2,50.0,0
47,47,12000,16.6,16.6,50.0,0
48,48,12250,28.0,28.0,50.0,0
49,49,12500,34.4,34.4,50.0,0
