,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,3.2,3.2,50.0,0
1,1,500,0.0,0.0,50.0,0
2,2,750,1.6,1.6,50.0,0
3,3,1000,2.2,2.2,50.0,0
4,4,1250,1.0,1.0,50.0,0
5,5,1500,5.4,5.4,50.0,0
6,6,1750,2.4,2.4,50.0,0
7,7,2000,0.4,0.4,50.0,0
8,8,2250,5.2,5.2,50.0,0
9,9,2500,4.6,4.6,50.0,0
10,10,2750,2.0,2.0,50.0,0
11,11,3000,3.2,3.2,50.0,0
12,12,3250,4.4,4.4,50.0,0
13,13,3500,6.6,6.6,50.0,0
14,14,3750,11.4,11.4,50.0,0
15,15,4000,8.8,8.8,50.0,0
16,16,4250,5.0,5.0,50.0,0
17,17,4500,16.2,16.2,50.0,0
18,18,4750,9.8,9.8,50.0,0
19,19,5000,15.0,15.0,50.0,0
20,20,5250,9.0,9.0,50.0,0
21,21,5500,10.8,10.8,50.0,0
22,22,5750,17.6,17.6,50.0,0
23,23,6000,16.8,16.8,50.0,0
24,24,6250,19.0,19.0,50.0,0
25,25,6500,13.8,13.8,50.0,0
26,26,6750,23.0,23.0,50.0,0
27,27,7000,28.0,28.0,50.0,0
28,28,7250,22.0,22.0,50.0,0
29,29,7500,21.4,21.4,50.0,0
30,30,7750,19.2,19.2,50.0,0
31,31,8000,27.8,27.8,50.0,0
32,32,8250,24.4,24.4,50.0,0
33,33,8500,26.2,26.2,50.0,0
34,34,8750,29.8,29.8,50.0,0
35,35,9000,22.6,22.6,50.0,0
36,36,9250,26.0,26.0,50.0,0
37,37,9500,26.4,26.4,50.0,0
38,38,9750,25.0,25.0,50.0,0
39,39,10000,24.4,24.4,50.0,0
40,40,10250,21.2,21.2,50.0,0
41,41,10500,23.8,23.8,50.0,0
42,42,10750,25.4,25.4,50.0,0
43,43,11000,30.6,30.6,50.0,0
44,44,11250,27.8,27.8,50.0,0
45,45,11500,33.6,33.6,50.0,0
46,46,11750,22.6,22.6,50.0,0
47,47,12000,23.0,23.0,50.0,0
48,48,12250,31.6,31.6,50.0,0
49,49,12500,22.4,22.4,50.0,0
