,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,0.4,0.3882384,50.0,0
1,1,500,0.8,0.5288534208777141,50.0,0
2,2,750,2.8,1.7476009756650004,50.0,0
3,3,1000,0.4,0.2012960196292545,50.0,0
4,4,1250,1.0,0.6640567920171601,50.0,0
5,5,1500,1.4,0.9962786849090687,50.0,0
6,6,1750,3.2,2.438229800004339,50.0,0
7,7,2000,3.4,1.9724535510743801,50.0,0
8,8,2250,5.6,3.2123955422727732,50.0,0
9,9,2500,4.8,2.983869712240435,50.0,0
10,10,2750,4.0,2.1090235330292915,50.0,0
11,11,3000,4.2,2.6501844399389407,50.0,0
12,12,3250,3.2,2.361484024341676,50.0,0
13,13,3500,7.2,3.808449393955977,50.0,0
14,14,3750,6.0,3.854780689753814,50.0,0
15,15,4000,1.0,0.5994615302637818,50.0,0
16,16,4250,7.0,3.9714566418848287,50.0,0
17,17,4500,5.0,2.7975227296106713,50.0,0
18,18,4750,16.0,9.791302102585103,50.0,0
19,19,5000,12.0,6.751867355950315,50.0,0
20,20,5250,9.0,4.8033699002990655,50.0,0
21,21,5500,5.0,3.596814973995747,50.0,0
22,22,5750,6.6,4.227787799774043,50.0,0
23,23,6000,1.8,0.9832966540059592,50.0,0
24,24,6250,5.0,3.4321099978432175,50.0,0
25,25,6500,5.4,2.937473906279952,50.0,0
26,26,6750,12.2,7.469129911994787,50.0,0
27,27,7000,2.4,1.7482611927239908,50.0,0
28,28,7250,15.8,10.34721708013602,50.0,0
29,29,7500,10.8,6.909952388783692,50.0,0
30,30,7750,6.6,4.242737069597096,50.0,0
31,31,8000,10.4,6.48616916465587,50.0,0
32,32,8250,17.2,10.236373451913634,50.0,0
33,33,8500,5.0,2.9093043872535898,50.0,0
34,34,8750,8.2,4.707873161137032,50.0,0
35,35,9000,8.2,4.496600823473278,50.0,0
36,36,9250,6.0,3.6807169299862834,50.0,0
37,37,9500,8.0,4.863185537885078,50.0,0
38,38,9750,14.6,8.790046336879124,50.0,0
39,39,10000,8.2,5.089681152366883,50.0,0
40,40,10250,13.8,7.687799951347159,50.0,0
41,41,10500,2.2,1.5267428242930623,50.0,0
42,42,10750,11.4,6.2891866439721476,50.0,0
43,43,11000,8.6,5.144701067185075,50.0,0
44,44,11250,10.4,6.081864352252293,50.0,0
45,45,11500,10.2,6.083414603021,50.0,0
46,46,11750,8.0,4.857371631104368,50.0,0
47,47,12000,10.4,5.886882565586513,50.0,0
48,48,12250,12.6,7.145471877545394,50.0,0
49,49,12500,15.2,10.039573580127549,50.0,0
