,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,2.0,2.0,50.0,0
1,1,500,1.2,1.2,50.0,0
2,2,750,0.8,0.8,50.0,0
3,3,1000,0.0,0.0,50.0,0
4,4,1250,0.8,0.8,50.0,0
5,5,1500,0.8,0.8,50.0,0
6,6,1750,3.6,3.6,50.0,0
7,7,2000,2.0,2.0,50.0,0
8,8,2250,3.2,3.2,50.0,0
9,9,2500,1.6,1.6,50.0,0
10,10,2750,1.4,1.4,50.0,0
11,11,3000,1.4,1.4,50.0,0
12,12,3250,4.8,4.8,50.0,0
13,13,3500,2.0,2.0,50.0,0
14,14,3750,3.6,3.6,50.0,0
15,15,4000,7.4,7.4,50.0,0
16,16,4250,6.2,6.2,50.0,0
17,17,4500,5.4,5.4,50.0,0
18,18,4750,9.6,9.6,50.0,0
19,19,5000,12.4,12.4,50.0,0
20,20,5250,12.4,12.4,50.0,0
21,21,5500,10.2,10.2,50.0,0
22,22,5750,6.6,6.6,50.0,0
23,23,6000,11.0,11.0,50.0,0
24,24,6250,8.0,8.0,50.0,0
25,25,6500,13.2,13.2,50.0,0
26,26,6750,18.4,18.4,50.0,0
27,27,7000,15.0,15.0,50.0,0
28,28,7250,16.6,16.6,50.0,0
29,29,7500,17.0,17.0,50.0,0
30,30,7750,19.0,19.0,50.0,0
31,31,8000,18.2,18.2,50.0,0
32,32,8250,21.2,21.2,50.0,0
33,33,8500,21.0,21.0,50.0,0
34,34,8750,20.4,20.4,50.0,0
35,35,9000,13.2,13.2,50.0,0
36,36,9250,18.4,18.4,50.0,0
37,37,9500,24.8,24.8,50.0,0
38,38,9750,15.8,15.8,50.0,0
39,39,10000,24.0,24.0,50.0,0
40,40,10250,21.2,21.2,50.0,0
41,41,10500,22.2,22.2,50.0,0
42,42,10750,26.4,26.4,50.0,0
43,43,11000,21.4,21.4,50.0,0
44,44,11250,20.8,20.8,50.0,0
45,45,11500,24.4,24.4,50.0,0
46,46,11750,21.4,21.4,50.0,0
47,47,12000,21.8,21.8,50.0,0
48,48,12250,24.0,24.0,50.0,0
49,49,12500,28.8,28.8,50.0,0
