,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,0.6,0.6,50.0,0
1,1,500,3.0,3.0,50.0,0
2,2,750,0.2,0.2,50.0,0
3,3,1000,0.6,0.6,50.0,0
4,4,1250,1.0,1.0,50.0,0
5,5,1500,0.4,0.4,50.0,0
6,6,1750,1.6,1.6,50.0,0
7,7,2000,5.4,5.4,50.0,0
8,8,2250,4.4,4.4,50.0,0
9,9,2500,4.8,4.8,50.0,0
10,10,2750,10.4,10.4,50.0,0
11,11,3000,14.6,14.6,50.0,0
12,12,3250,14.8,14.8,50.0,0
13,13,3500,11.8,11.8,50.0,0
14,14,3750,15.8,15.8,50.0,0
15,15,4000,18.2,18.2,50.0,0
16,16,4250,19.0,19.0,50.0,0
17,17,4500,21.0,21.0,50.0,0
18,18,4750,25.2,25.2,50.0,0
19,19,5000,22.6,22.6,50.0,0
20,20,5250,25.8,25.8,50.0,0
21,21,5500,26.0,26.0,50.0,0
22,22,5750,30.8,30.8,50.0,0
23,23,6000,25.6,25.6,50.0,0
24,24,6250,29.0,29.0,50.0,0
25,25,6500,26.0,26.0,50.0,0
26,26,6750,26.0,26.0,50.0,0
27,27,7000,28.6,28.6,50.0,0
28,28,7250,30.0,30.0,50.0,0
29,29,7500,25.6,25.6,50.0,0
30,30,7750,28.8,28.8,50.0,0
31,31,8000,27.8,27.8,50.0,0
32,32,8250,28.6,28.6,50.0,0
33,33,8500,27.2,27.2,50.0,0
34,34,8750,31.4,31.4,50.0,0
35,35,9000,27.4,27.4,50.0,0
36,36,9250,27.4,27.4,50.0,0
37,37,9500,29.4,29.4,50.0,0
38,38,9750,26.0,26.0,50.0,0
39,39,10000,34.4,34.4,50.0,0
40,40,10250,33.6,33.6,50.0,0
41,41,10500,31.0,31.0,50.0,0
42,42,10750,29.6,29.6,50.0,0
43,43,11000,28.6,28.6,50.0,0
44,44,11250,29.8,29.8,50.0,0
45,45,11500,28.2,28.2,50.0,0
46,46,11750,31.2,31.2,50.0,0
47,47,12000,28.6,28.6,50.0,0
48,48,12250,30.4,30.4,50.0,0
49,49,12500,27.8,27.8,50.0,0
