,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,0.4,0.4,50.0,0
1,1,500,0.6,0.6,50.0,0
2,2,750,2.2,2.2,50.0,0
3,3,1000,2.4,2.4,50.0,0
4,4,1250,0.8,0.8,50.0,0
5,5,1500,3.2,3.2,50.0,0
6,6,1750,1.8,1.8,50.0,0
7,7,2000,1.6,1.6,50.0,0
8,8,2250,4.0,4.0,50.0,0
9,9,2500,1.8,1.8,50.0,0
10,10,2750,3.2,3.2,50.0,0
11,11,3000,2.4,2.4,50.0,0
12,12,3250,4.6,4.6,50.0,0
13,13,3500,9.0,9.0,50.0,0
14,14,3750,4.4,4.4,50.0,0
15,15,4000,8.2,8.2,50.0,0
16,16,4250,13.4,13.4,50.0,0
17,17,4500,5.2,5.2,50.0,0
18,18,4750,20.6,20.6,50.0,0
19,19,5000,11.8,11.8,50.0,0
20,20,5250,16.6,16.6,50.0,0
21,21,5500,14.8,14.8,50.0,0
22,22,5750,18.6,18.6,50.0,0
23,23,6000,22.0,22.0,50.0,0
24,24,6250,24.2,24.2,50.0,0
25,25,6500,23.8,23.8,50.0,0
26,26,6750,26.0,26.0,50.0,0
27,27,7000,24.0,24.0,50.0,0
28,28,7250,23.4,23.4,50.0,0
29,29,7500,25.6,25.6,50.0,0
30,30,7750,22.4,22.4,50.0,0
31,31,8000,25.6,25.6,50.0,0
32,32,8250,20.0,20.0,50.0,0
33,33,8500,31.4,31.4,50.0,0
34,34,8750,27.2,27.2,50.0,0
35,35,9000,29.8,29.8,50.0,0
36,36,9250,24.6,24.6,50.0,0
37,37,9500,23.4,23.4,50.0,0
38,38,9750,27.8,27.8,50.0,0
39,39,10000,26.2,26.2,50.0,0
40,40,10250,29.4,29.4,50.0,0
41,41,10500,22.8,22.8,50.0,0
42,42,10750,27.0,27.0,50.0,0
43,43,11000,25.2,25.2,50.0,0
44,44,11250,25.6,25.6,50.0,0
45,45,11500,34.4,34.4,50.0,0
46,46,11750,28.8,28.8,50.0,0
47,47,12000,30.8,30.8,50.0,0
48,48,12250,26.8,26.8,50.0,0
49,49,12500,35.8,35.8,50.0,0
