,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,1.2,1.2,50.0,0
1,1,500,2.2,2.2,50.0,0
2,2,750,5.2,5.2,50.0,0
3,3,1000,0.6,0.6,50.0,0
4,4,1250,1.2,1.2,50.0,0
5,5,1500,4.0,4.0,50.0,0
6,6,1750,6.4,6.4,50.0,0
7,7,2000,3.2,3.2,50.0,0
8,8,2250,3.6,3.6,50.0,0
9,9,2500,9.0,9.0,50.0,0
10,10,2750,12.6,12.6,50.0,0
11,11,3000,10.0,10.0,50.0,0
12,12,3250,16.8,16.8,50.0,0
13,13,3500,18.6,18.6,50.0,0
14,14,3750,22.2,22.2,50.0,0
15,15,4000,16.2,16.2,50.0,0
16,16,4250,14.6,14.6,50.0,0
17,17,4500,16.0,16.0,50.0,0
18,18,4750,20.0,20.0,50.0,0
19,19,5000,17.6,17.6,50.0,0
20,20,5250,15.6,15.6,50.0,0
21,21,5500,16.8,16.8,50.0,0
22,22,5750,24.0,24.0,50.0,0
23,23,6000,26.0,26.0,50.0,0
24,24,6250,21.6,21.6,50.0,0
25,25,6500,22.4,22.4,50.0,0
26,26,6750,23.6,23.6,50.0,0
27,27,7000,20.6,20.6,50.0,0
28,28,7250,28.6,28.6,50.0,0
29,29,7500,23.2,23.2,50.0,0
30,30,7750,29.8,29.8,50.0,0
31,31,8000,23.8,23.8,50.0,0
32,32,8250,27.6,27.6,50.0,0
33,33,8500,28.0,28.0,50.0,0
34,34,8750,30.6,30.6,50.0,0
35,35,9000,30.6,30.6,50.0,0
36,36,9250,23.8,23.8,50.0,0
37,37,9500,27.8,27.8,50.0,0
38,38,9750,26.2,26.2,50.0,0
39,39,10000,23.6,23.6,50.0,0
40,40,10250,30.6,30.6,50.0,0
41,41,10500,29.0,29.0,50.0,0
42,42,10750,28.0,28.0,50.0,0
43,43,11000,24.6,24.6,50.0,0
44,44,11250,24.4,24.4,50.0,0
45,45,11500,28.6,28.6,50.0,0
46,46,11750,26.0,26.0,50.0,0
47,47,12000,27.0,27.0,50.0,0
48,48,12250,25.4,25.4,50.0,0
49,49,12500,29.6,29.6,50.0,0
