,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,0.0,0.0,50.0,0
1,1,500,2.2,2.2,50.0,0
2,2,750,1.2,1.2,50.0,0
3,3,1000,0.0,0.0,50.0,0
4,4,1250,1.0,1.0,50.0,0
5,5,1500,2.2,2.2,50.0,0
6,6,1750,1.2,1.2,50.0,0
7,7,2000,5.0,5.0,50.0,0
8,8,2250,3.6,3.6,50.0,0
9,9,2500,7.6,7.6,50.0,0
10,10,2750,1.4,1.4,50.0,0
11,11,3000,4.2,4.2,50.0,0
12,12,3250,7.0,7.0,50.0,0
13,13,3500,4.6,4.6,50.0,0
14,14,3750,10.0,10.0,50.0,0
15,15,4000,17.2,17.2,50.0,0
16,16,4250,17.4,17.4,50.0,0
17,17,4500,15.2,15.2,50.0,0
18,18,4750,19.2,19.2,50.0,0
19,19,5000,25.6,25.6,50.0,0
20,20,5250,21.0,21.0,50.0,0
21,21,5500,19.8,19.8,50.0,0
22,22,5750,21.4,21.4,50.0,0
23,23,6000,21.2,21.2,50.0,0
24,24,6250,15.4,15.4,50.0,0
25,25,6500,26.0,26.0,50.0,0
26,26,6750,29.0,29.0,50.0,0
27,27,7000,25.8,25.8,50.0,0
28,28,7250,24.4,24.4,50.0,0
29,29,7500,24.0,24.0,50.0,0
30,30,7750,25.0,25.0,50.0,0
31,31,8000,26.2,26.2,50.0,0
32,32,8250,31.6,31.6,50.0,0
33,33,8500,29.8,29.8,50.0,0
34,34,8750,29.6,29.6,50.0,0
35,35,9000,24.6,24.6,50.0,0
36,36,9250,19.4,19.4,50.0,0
37,37,9500,28.8,28.8,50.0,0
38,38,9750,32.8,32.8,50.0,0
39,39,10000,28.6,28.6,50.0,0
40,40,10250,30.8,30.8,50.0,0
41,41,10500,27.2,27.2,50.0,0
42,42,10750,26.8,26.8,50.0,0
43,43,11000,27.4,27.4,50.0,0
44,44,11250,31.6,31.6,50.0,0
45,45,11500,31.0,31.0,50.0,0
46,46,11750,28.6,28.6,50.0,0
47,47,12000,31.2,31.2,50.0,0
48,48,12250,28.2,28.2,50.0,0
49,49,12500,28.8,28.8,50.0,0
