,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,2.0,2.0,50.0,0
1,1,500,2.6,2.6,50.0,0
2,2,750,1.6,1.6,50.0,0
3,3,1000,0.8,0.8,50.0,0
4,4,1250,0.4,0.4,50.0,0
5,5,1500,2.8,2.8,50.0,0
6,6,1750,1.0,1.0,50.0,0
7,7,2000,2.0,2.0,50.0,0
8,8,2250,3.4,3.4,50.0,0
9,9,2500,3.4,3.4,50.0,0
10,10,2750,6.8,6.8,50.0,0
11,11,3000,5.4,5.4,50.0,0
12,12,3250,7.8,7.8,50.0,0
13,13,3500,7.2,7.2,50.0,0
14,14,3750,7.4,7.4,50.0,0
15,15,4000,11.8,11.8,50.0,0
16,16,4250,10.4,10.4,50.0,0
17,17,4500,12.4,12.4,50.0,0
18,18,4750,12.8,12.8,50.0,0
19,19,5000,11.2,11.2,50.0,0
20,20,5250,9.2,9.2,50.0,0
21,21,5500,19.4,19.4,50.0,0
22,22,5750,17.8,17.8,50.0,0
23,23,6000,18.4,18.4,50.0,0
24,24,6250,17.6,17.6,50.0,0
25,25,6500,14.2,14.2,50.0,0
26,26,6750,21.0,21.0,50.0,0
27,27,7000,10.0,10.0,50.0,0
28,28,7250,24.4,24.4,50.0,0
29,29,7500,16.0,16.0,50.0,0
30,30,7750,20.0,20.0,50.0,0
31,31,8000,22.2,22.2,50.0,0
32,32,8250,26.4,26.4,50.0,0
33,33,8500,24.4,24.4,50.0,0
34,34,8750,23.4,23.4,50.0,0
35,35,9000,33.4,33.4,50.0,0
36,36,9250,22.8,22.8,50.0,0
37,37,9500,19.8,19.8,50.0,0
38,38,9750,26.0,26.0,50.0,0
39,39,10000,23.4,23.4,50.0,0
40,40,10250,29.4,29.4,50.0,0
41,41,10500,25.0,25.0,50.0,0
42,42,10750,24.0,24.0,50.0,0
43,43,11000,30.2,30.2,50.0,0
44,44,11250,27.0,27.0,50.0,0
45,45,11500,24.6,24.6,50.0,0
46,46,11750,24.0,24.0,50.0,0
47,47,12000,21.6,21.6,50.0,0
48,48,12250,30.2,30.2,50.0,0
49,49,12500,23.8,23.8,50.0,0
